id,label,type,category,template_strings,obsolete,enableForImmersion
errors.feedback_include_link,errors.feedback_include_link,phrase,errors,,,false
errors.page_not_found,errors.page_not_found,phrase,errors,,,false
errors.report_via_feedback,errors.report_via_feedback,phrase,errors,,,false
general.about,general.about,phrase,general,,,false
general.about_our_archive,general.about_our_archive,phrase,general,,,false
general.about_our_language,general.about_our_language,phrase,general,,,false
general.about_the,general.about_the,phrase,general,,,false
general.access_more_words_for_letter,general.access_more_words_for_letter,phrase,general,,,false
general.account_created,general.account_created,phrase,general,,,false
general.account_details,general.account_details,phrase,general,,,false
general.account_info,general.account_info,phrase,general,,,false
general.accounts,general.accounts,phrase,general,,,false
general.actions,general.actions,phrase,general,,,false
general.activate,general.activate,phrase,general,,,false
general.activities,general.activities,phrase,general,,,false
general.activity,general.activity,phrase,general,,,false
general.activity_no_content,general.activity_no_content,phrase,general,,,false
general.add,general.add,phrase,general,,,false
general.add_account_for_user,general.add_account_for_user,phrase,general,,,false
general.add_another_spellin,general.add_another_spellin,phrase,general,,,false
general.add_another_spelling,general.add_another_spelling,phrase,general,,,false
general.add_copy_of_page,general.add_copy_of_page,phrase,general,,,false
general.add_categories,general.add_categories,phrase,general,,,false
general.add_cultural_note,general.add_cultural_note,phrase,general,,,false
general.add_definition,general.add_definition,phrase,general,,,false
general.add_literal_translation,general.add_literal_translation,phrase,general,,,false
general.add_related_audio,general.add_related_audio,phrase,general,,,false
general.add_related_pictures,general.add_related_pictures,phrase,general,,,false
general.add_related_phrases,general.add_related_phrases,phrase,general,,,false
general.add_related_videos,general.add_related_videos,phrase,general,,,false
general.add_source,general.add_source,phrase,general,,,false
general.add_images_to_gallery,general.add_images_to_gallery,phrase,general,,,false
general.add_images_to_slide,general.add_images_to_slide,phrase,general,,,false
general.add_new,general.add_new,phrase,general,,,false
general.add_new_category,general.add_new_category,phrase,general,,,false
general.add_new_dictionary,general.add_new_dictionary,phrase,general,,,false
general.add_new_lesson,general.add_new_lesson,phrase,general,,,false
general.add_new_page,general.add_new_page,phrase,general,,,false
general.add_new_phrase,general.add_new_phrase,phrase,general,,,false
general.add_new_phrase_book,general.add_new_phrase_book,phrase,general,,,false
general.add_new_song_book,general.add_new_song_book,phrase,general,,,false
general.add_new_story_book,general.add_new_story_book,phrase,general,,,false
general.add_new_word,general.add_new_word,phrase,general,,,false
general.add_phrase,general.add_phrase,phrase,general,,,false
general.add_words,general.add_words,phrase,general,,,false
general.added_below,general.added_below,phrase,general,,,false
general.additional_languages,general.additional_languages,phrase,general,,,false
general.additional_text,general.additional_text,phrase,general,,,false
general.address,general.address,phrase,general,,,false
general.admin,general.admin,phrase,general,,,false
general.admin_email,general.admin_email,phrase,general,,,false
general.admin_first_name,general.admin_first_name,phrase,general,,,false
general.admin_guide_assist,general.admin_guide_assist,phrase,general,,,false
general.admin_last_name,general.admin_last_name,phrase,general,,,false
general.admin_telephone,general.admin_telephone,phrase,general,,,false
general.administrator,general.administrator,phrase,general,,,false
general.audio_upload,general.audio_upload,phrase,general,,,false
general.audio_browse,general.audio_browse,phrase,general,,,false
general.adobe_reader,general.adobe_reader,phrase,general,,,false
general.age,general.age,phrase,general,,,false
general.age_group,general.age_group,phrase,general,,,false
general.alberta,general.alberta,phrase,general,,,false
general.all,general.all,phrase,general,,,false
general.all_dialects,general.all_dialects,phrase,general,,,false
general.alphabet,general.alphabet,phrase,general,,,true
general.alphabet_de,general.alphabet_de,phrase,general,,,false
general.alphabet_view,general.alphabet_view,phrase,general,,,false
general.already_member,general.already_member,phrase,general,,,false
general.ancestor,general.ancestor,phrase,general,,,false
general.ancestry,general.ancestry,phrase,general,,,false
general.animals,general.animals,phrase,general,,,false
general.answer,general.answer,phrase,general,,,false
general.any_role,general.any_role,phrase,general,,,false
general.anything,general.anything,phrase,general,,,false
general.app_error_occurred,general.app_error_occurred,phrase,general,,,false
general.approve,general.approve,phrase,general,,,false
general.approve_activate,general.approve_activate,phrase,general,,,false
general.approver,general.approver,phrase,general,,,false
general.apr,general.apr,phrase,general,,,false
general.april,general.april,phrase,general,,,false
general.art_gallery,general.art_gallery,phrase,general,,,false
general.art_gallery_curr,general.art_gallery_curr,phrase,general,,,false
general.as_of,general.as_of,phrase,general,,,false
general.assign,general.assign,phrase,general,,,false
general.audio,general.audio,phrase,general,,,false
general.audio_files,general.audio_files,phrase,general,,,false
general.audio_recording,general.audio_recording,phrase,general,,,false
general.aug,general.aug,phrase,general,,,false
general.august,general.august,phrase,general,,,false
general.author,general.author,phrase,general,,,false
general.author_profile,general.author_profile,phrase,general,,,false
general.back_to_main_site,general.back_to_main_site,phrase,general,,,false
general.backyard,general.backyard,phrase,general,,,false
general.bear,general.bear,phrase,general,,,false
general.become_member,general.become_member,phrase,general,,,false
general.bedroom,general.bedroom,phrase,general,,,false
general.bird,general.bird,phrase,general,,,false
general.book,general.book,phrase,general,,,false
general.book_title,general.book_title,phrase,general,,,false
general.books,general.books,phrase,general,,,false
general.british_columbia,general.british_columbia,phrase,general,,,false
general.browse,general.browse,phrase,general,,,false
general.browse_media,general.browse_media,phrase,general,,,false
general.browser,general.browser,phrase,general,,,false
general.browsers,general.browsers,phrase,general,,,false
general.bulk_import,general.bulk_import,phrase,general,,,false
general.by,general.by,phrase,general,,,false
general.camping,general.camping,phrase,general,,,false
general.canada,general.canada,phrase,general,,,false
general.cancel,general.cancel,phrase,general,,,false
general.caption_note,general.caption_note,phrase,general,,,false
general.categories,general.categories,phrase,general,,,false
general.categories_browse,general.categories_browse,phrase,general,,,false
general.category,general.category,phrase,general,,,false
general.category_view,general.category_view,phrase,general,,,false
general.change_password,general.change_password,phrase,general,,,false
general.change_user_account_information_failed_save,general.change_user_account_information_failed_save,phrase,general,,,false
general.change_user_info,general.change_user_info,phrase,general,,,false
general.changes_saved,general.changes_saved,phrase,general,,,false
general.char_order,general.char_order,phrase,general,,,false
general.char_value,general.char_value,phrase,general,,,false
general.character,general.character,phrase,general,,,false
general.characters,general.characters,phrase,general,,,false
general.characters_left,general.characters_left,phrase,general,,,false
general.check,general.check,phrase,general,,,false
general.child,general.child,phrase,general,,,false
general.children,general.children,phrase,general,,,false
general.choose,general.choose,phrase,general,,,false
general.choose_default_lang,general.choose_default_lang,phrase,general,,,false
general.choose_lang,general.choose_lang,phrase,general,,,false
general.choose_lang_no_escape_html,general.choose_lang_no_escape_html,phrase,general,,,false
general.choose_password,general.choose_password,phrase,general,,,false
general.choose_theme,general.choose_theme,phrase,general,,,false
general.choose_theme2,general.choose_theme2,phrase,general,,,false
general.chosen_theme,general.chosen_theme,phrase,general,,,false
general.chosen_user_already_exists,general.chosen_user_already_exists,phrase,general,,,false
general.chrome,general.chrome,phrase,general,,,false
general.city,general.city,phrase,general,,,false
general.classroom,general.classroom,phrase,general,,,false
general.clear,general.clear,phrase,general,,,false
general.clear_search_results,general.clear_search_results,phrase,general,,,false
general.click,general.click,phrase,general,,,false
general.click_text_area,general.click_text_area,phrase,general,,,false
general.click_to_select_user,general.click_to_select_user,phrase,general,,,false
general.close,general.close,phrase,general,,,false
general.close_this_window,general.close_this_window,phrase,general,,,false
general.color,general.color,phrase,general,,,false
general.coloring_book,general.coloring_book,phrase,general,,,false
general.colouring_book,general.colouring_book,phrase,general,,,false
general.column,general.column,phrase,general,,,false
general.columns,general.columns,phrase,general,,,false
general.common_files,general.common_files,phrase,general,,,false
general.community_art_gallery,general.community_art_gallery,phrase,general,,,false
general.community_photo_album,general.community_photo_album,phrase,general,,,false
general.community_portal,general.community_portal,phrase,general,,,false
general.community_slide_show,general.community_slide_show,phrase,general,,,false
general.conditions_of_use,general.conditions_of_use,phrase,general,,,false
general.contact,general.contact,phrase,general,,,false
general.contact_info,general.contact_info,phrase,general,,,false
general.contact_information,general.contact_information,phrase,general,,,true
general.contact_us,general.contact_us,phrase,general,,,false
general.contact_us_to_publish_x,general.contact_us_to_publish_x,template,general,What is being published,,false
general.contacts,general.contacts,phrase,general,,,false
general.content,general.content,phrase,general,,,false
general.continue_to_lang,general.continue_to_lang,phrase,general,,,false
general.contribute,general.contribute,phrase,general,,,false
general.contributor,general.contributor,phrase,general,,,false
general.contributor_profile,general.contributor_profile,phrase,general,,,false
general.contributors,general.contributors,phrase,general,,,false
general.contributors_browse,general.contributors_browse,phrase,general,,,false
general.contributor_s,general.contributor_s,phrase,general,,,false
general.copy,general.copy,phrase,general,,,false
general.copy_of_phrase_created,general.copy_of_phrase_created,phrase,general,,,false
general.copy_of_word_created_change_category,general.copy_of_word_created_change_category,phrase,general,,,false
general.copy_of_word_created_change_spelling,general.copy_of_word_created_change_spelling,phrase,general,,,false
general.copyright,general.copyright,phrase,general,,,false
general.copyright_law_statement,general.copyright_law_statement,phrase,general,,,false
general.country,general.country,phrase,general,,,false
general.create,general.create,phrase,general,,,false
general.create_account,general.create_account,phrase,general,,,false
general.create_account2,general.create_account2,phrase,general,,,false
general.create_copy_of_phrase,general.create_copy_of_phrase,phrase,general,,,false
general.create_edit_account,general.create_edit_account,phrase,general,,,false
general.create_entry,general.create_entry,phrase,general,,,false
general.create_gallery,general.create_gallery,phrase,general,,,false
general.create_language_group,general.create_language_group,phrase,general,,,false
general.create_new_account,general.create_new_account,phrase,general,,,false
general.create_new_lang_group,general.create_new_lang_group,phrase,general,,,false
general.created,general.created,phrase,general,,,false
general.created_by,general.created_by,phrase,general,,,false
general.cultural_note,general.cultural_note,phrase,general,,,false
general.curr_filename,general.curr_filename,phrase,general,,,false
general.custom,general.custom,phrase,general,,,false
general.custom_alphabet_chart,general.custom_alphabet_chart,phrase,general,,,false
general.date,general.date,phrase,general,,,false
general.date_created,general.date_created,phrase,general,,,false
general.date_updated,general.date_updated,phrase,general,,,false
general.dates,general.dates,phrase,general,,,false
general.day,general.day,phrase,general,,,false
general.deactivate,general.deactivate,phrase,general,,,false
general.dec,general.dec,phrase,general,,,false
general.december,general.december,phrase,general,,,false
general.default,general.default,phrase,general,,,false
general.default_dictionary,general.default_dictionary,phrase,general,,,false
general.default_new_words,general.default_new_words,phrase,general,,,false
general.definition,general.definition,phrase,general,,,false
general.definitions,general.definitions,phrase,general,,,false
general.delete,general.delete,phrase,general,,,false
general.delete_lowercase,general.delete_lowercase,phrase,general,,,false
general.deleted,general.deleted,phrase,general,,,false
general.deleting,general.deleting,phrase,general,,,false
general.description,general.description,phrase,general,,,false
general.desired_id,general.desired_id,phrase,general,,,false
general.desired_pass,general.desired_pass,phrase,general,,,false
general.dialect,general.dialect,phrase,general,,,false
general.dialect_short_url,general.dialect_short_url,phrase,general,,,false
general.dialects,general.dialects,phrase,general,,,false
general.dictionaries,general.dictionaries,phrase,general,,,false
